Ward_ID,Total_Population,Area_Sqm_Km,Population_Density_Per_SqKm,CCTV_Count,CCTV_Density_Per_SqKm,Streetlight_Count,Streetlight_Density_Per_SqKm,Bus_Stop_Count,Bus_Stop_Density,POI_Count,POI_Density,Traffic Volume,Pedestrian and Cyclist Count,Metro_Prox_Count,Safety_Score_V2,Norm_Total_Population,Norm_Area_Sqm_Km,Norm_Population_Density_Per_SqKm,Norm_CCTV_Count,Norm_CCTV_Density_Per_SqKm,Norm_Streetlight_Count,Norm_Streetlight_Density_Per_SqKm,Norm_Bus_Stop_Count,Norm_Bus_Stop_Density,Norm_POI_Count,Norm_POI_Density,Norm_Traffic Volume,Norm_Pedestrian and Cyclist Count,Norm_Metro_Prox_Count,Norm_Safety_Score_V2
169,32066.0,1.34598948491613,23823.36590244467,27.0,20.05959207154014,2100.0,1560.190494453122,2.0,1.4858957090029734,0.0,0.0,0.0,0.0,0.0,0.143,0.1947437381536935,0.0322548475603737,0.17836828868506918,0.16265060240963855,0.3237175233195624,0.3087327256689209,0.16495555113246582,0.08333333333333333,0.06825354429079582,0.0,0.0,0.0,0.0,0.0,0.33681958640361304
52,35168.0,0.7780251694249479,45201.62249505795,0.0,0.0,2453.0,3152.854298805083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135,0.23420386459910192,0.014828469459329478,0.3446733889686901,0.0,0.0,0.36062922669803,0.3333444347653556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31780366056572384
156,41379.0,0.6290522001665323,65779.91459062621,0.0,0.0,1302.0,2069.780535948073,4.0,6.358772767889627,0.0,0.0,0.0,0.0,0.0,0.1742,0.31321316355217466,0.01025765538118218,0.5047554291384955,0.0,0.0,0.19141428991473097,0.21883339902685411,0.16666666666666666,0.2920856262782252,0.0,0.0,0.0,0.0,0.0,0.41098169717138106
127,43729.0,0.7918152149816113,55226.26892312941,0.0,0.0,1989.0,2511.949710446258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1298,0.3431071987380901,0.015251577991585098,0.422656821448601,0.0,0.0,0.29241399588356365,0.2655829851398639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3054433087710958
66,35709.0,0.7216993268665457,49479.05404739721,0.0,0.0,1983.0,2747.6816538124467,1.0,1.3856185848776839,0.0,0.0,0.0,0.0,0.0,0.1389,0.24108585312488073,0.013100270340985671,0.37794825776757507,0.0,0.0,0.29153190238165244,0.29050641133412936,0.041666666666666664,0.0636473871484271,0.0,0.0,0.0,0.0,0.0,0.3270739244116948
155,36982.0,0.653077966843925,56627.23576285968,0.0,0.0,1571.0,2405.5320800241348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1286,0.2572795155894213,0.010994818056491516,0.43355518117994934,0.0,0.0,0.2309614819170832,0.25433168029029457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3025909198954124
195,57335.0,1.2977916909189793,44178.89280782844,0.0,0.0,3857.0,2971.9715629160946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1291,0.5161873020315223,0.030776034615753716,0.3367174004875476,0.0,0.0,0.5670391061452514,0.31422009610607216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3037794152602805
148,47004.0,0.7444744704093965,63137.15495731085,0.0,0.0,1555.0,2088.7217249301843,8.0,10.745835240798375,0.0,0.0,0.0,0.0,0.0,0.2019,0.3847680350078233,0.013799061183751982,0.48419695169951305,0.0,0.0,0.22860923257865334,0.2208360097841665,0.3333333333333333,0.4936021667641539,0.0,0.0,0.0,0.0,0.0,0.47682434038507254
53,48585.0,0.9033391524985654,53783.78637261286,0.0,0.0,2213.0,2449.7997168383718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1265,0.4048797242116243,0.018673374483864632,0.4114355039299443,0.0,0.0,0.3253454866215819,0.2590120013497969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2975992393629665
174,63033.0,3.119557146487303,20205.75262452771,56.0,17.951265955508255,4737.0,1518.4847648436178,12.0,3.8466998476089116,0.0,0.0,40832.253665689146,104.64222873900293,0.0,0.2665,0.5886707967078398,0.08667175336825968,0.15022625865726907,0.3373493975903614,0.28969379511024823,0.6964128197588945,0.16054609495543098,0.5,0.17669537426576348,0.0,0.0,1.0,0.7961130609509749,0.0,0.6303779415260281
50,49094.0,0.9063089344748656,54169.16697223789,0.0,0.0,2103.0,2320.4008258161134,3.0,3.3101295660714887,0.0,0.0,0.0,0.0,0.0,0.1463,0.41135464502423325,0.018764493841516384,0.414433445272371,0.0,0.0,0.3091737724198765,0.24533093774865736,0.125,0.15204840661241925,0.0,0.0,0.0,0.0,0.0,0.3446636558117424
39,59289.0,1.0027525822046814,59126.25013604598,0.0,0.0,2088.0,2082.268385097809,1.0,0.9972549737058473,0.0,0.0,0.0,0.0,0.0,0.1299,0.5410438742669601,0.02172359430776703,0.452995439750265,0.0,0.0,0.3069685386650985,0.2201537121849444,0.041666666666666664,0.04580818566514365,0.0,0.0,0.0,0.0,0.0,0.30568100784406943
124,37347.0,1.3099718540663754,28509.77285051473,24.0,18.32100432196304,1328.0,1013.7622391486216,1.0,0.7633751800817933,0.0,0.0,0.0,0.0,0.0,0.1234,0.26192263169276564,0.031149748461059945,0.214824646765173,0.14457831325301204,0.29566055594158025,0.1952366950896795,0.10718287893085739,0.041666666666666664,0.03506508656597961,0.0,0.0,0.0,0.0,0.0,0.29023056810078446
140,32213.0,0.8273489496580698,38935.20383788862,2.0,2.4173596894352354,2137.0,2582.948828161549,3.0,3.6260395341528535,0.0,0.0,0.0,0.0,0.0,0.1454,0.1966137054610678,0.01634183010589027,0.2959258506142397,0.012048192771084338,0.039010847720416214,0.31417230226403997,0.2730895675952005,0.125,0.1665595024233179,0.0,0.0,0.0,0.0,0.0,0.34252436415497983
183,43364.0,0.9485424908567128,45716.45489579927,3.0,3.1627470871551933,2050.0,2161.2105095560487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1196,0.33846408263474576,0.02006031102930107,0.3486783579269225,0.018072289156626505,0.05103975446203732,0.30138194648632755,0.22850009148533942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28119800332778705
60,35334.0,0.6835696943361862,51690.4132713385,4.0,5.8516344904441615,1017.0,1487.778069195428,3.0,4.388725867833121,0.0,0.0,0.0,0.0,0.0,0.1477,0.23631552836117084,0.01193037044550846,0.39515079792362023,0.024096385542168676,0.09443245993548632,0.14951484857394884,0.1572995427413826,0.125,0.2015929473282501,0.0,0.0,0.0,0.0,0.0,0.34799144283337297
73,68922.0,1.863088381204148,36993.41410494678,3.0,1.6102295684228598,5009.0,2688.546636076702,10.0,5.367431894742866,0.0,0.0,0.0,0.0,0.0,0.1554,0.6635839767971403,0.0481205641847618,0.28082033745568874,0.018072289156626505,0.02598554975628448,0.7364010585122023,0.2842541943923468,0.4166666666666667,0.24654910054318574,0.0,0.0,0.0,0.0,0.0,0.3662942714523414
79,37291.0,0.6114567960363524,60987.13799851686,0.0,0.0,1008.0,1648.5220321928882,2.0,3.270877048001762,0.0,0.0,0.0,0.0,0.0,0.1362,0.2612102631947183,0.009717790187454266,0.4674716034750341,0.0,0.0,0.14819170832108203,0.17429465269861702,0.08333333333333333,0.1502453705955813,0.0,0.0,0.0,0.0,0.0,0.3206560494414072
173,33521.0,1.122522141833327,29862.21718999038,15.0,13.362765366482376,1386.0,1234.7195198629715,3.0,2.672553073296475,0.0,0.0,0.0,0.0,0.0,0.128,0.21325259823688797,0.025398384385519272,0.22534554170018037,0.09036144578313253,0.21564552727247832,0.2037635989414878,0.13054421214404452,0.125,0.1227617917277251,0.0,0.0,0.0,0.0,0.0,0.3011647254575708
193,58355.0,1.5645100957317917,37299.21600327209,0.0,0.0,4163.0,2660.8968592515075,4.0,2.5567108904650566,0.0,0.0,0.0,0.0,0.0,0.1304,0.5291625853888132,0.03895953425121207,0.28319922252274726,0.0,0.0,0.6120258747427227,0.2813308435636466,0.16666666666666666,0.11744066487560438,0.0,0.0,0.0,0.0,0.0,0.3068695032089375
192,80037.0,1.63340840066079,48999.99287846279,0.0,0.0,3427.0,2098.066839018104,7.0,4.285517325102633,0.0,0.0,0.0,0.0,0.0,0.1411,0.8049764027935021,0.04107348380660875,0.37422155931597384,0.0,0.0,0.5038224051749486,0.22182404839243203,0.2916666666666667,0.19685213759324482,0.0,0.0,0.0,0.0,0.0,0.3323033040171144
